French,English 
mot,word 
le,the 
de,of 
être,to be
un,a 
à,to 
avoir,to have
il,he 
ce,this 
en,in 
et,and 
pour,for 
pas,not 
son,his 
dans,in 
je,I 
lui,him 
sur,on 
par,through 
nous,we 
ne,not 
tout,all 
faire,to do
avec,with 
plus,more 
très,very 
mais,but 
aussi,too 
leur,their 
votre,your 
que,that 
notre,our 
donc,therefore 
bien,well 
aller,to go
également,also 
mon,my 
cela,that 
falloir,to need
autre,other 
y,there 
même,even 
nouveau,new 
deux,two 
bon,good 
premier,first 
me,me 
toujours,always 
encore,"again, still"
qui,who 
prendre,to take
rester,to stay
sans,without 
alors,then 
an,year 
grand,big 
voir,to see
site,site 
français,French 
travail,work 
vouloir,to want
ou,or 
depuis,since 
jour,day 
temps,time 
comme,as 
question,question 
personne,person 
beaucoup,a lot
devenir,to become
vie,life 
pourcent,percent 
monde,world 
connaître,to know
groupe,group 
déjà,already 
attendre,to wait
là,there 
sous,under 
homme,man 
rien,nothing 
venir,to come
résultat,result 
petit,small 
projet,project 
point,point 
dernier,last 
jeu,game 
euro,euro 
mettre,to put
politique,political 
problème,problem 
enfant,child 
quelque,some 
dire,to say
plusieurs,several 
aucun,none 
ville,"city, town"
chose,thing 
entre,between 
commencer,to begin
après,after 
vraiment,really 
contre,against 
vers,towards 
fin,end 
savoir,to know
partie,part 
heure,hour 
service,service 
situation,situation 
ici,here 
cas,case 
pays,country 
important,important 
merci,thank-you 
trois,three 
prix,"price, award"
seul,"alone, lonely"
public,public 
année,year 
lieu,place 
histoire,"story, history"
compte,account 
maintenant,now 
retour,return 
ainsi,thus 
équipe,team 
mois,month 
recherche,research 
match,match 
chez,"at, to"
comment,how 
chaque,each 
photo,photo 
trop,too 
information,information 
demande,request 
suivre,to follow
marché,market 
famille,family 
réponse,answer 
droit,right 
nombreux,numerous 
système,system 
jamais,never 
bel,"good-looking, pretty"
coup,blow 
ligne,line 
fait,fact 
non,no 
forme,shape 
mort,dead person
femme,woman 
film,film 
changer,to change
donner,to give
avant,before 
général,general 
affaire,affair 
différent,different 
trouver,to find
semaine,week 
jeune,young 
page,page 
ouvrir,to open
entreprise,company 
perdre,to lose
tu,you 
ton,your 
moment,moment 
fort,strong 
américain,American 
souvent,often 
assez,enough 
million,million 
image,image 
vrai,TRUE 
quel,which 
dollar,dollar 
septembre,September 
utiliser,to utilize
ci,here 
permettre,to allow
simple,simple 
nom,name 
exister,to exist
moins,less 
titre,title 
parler,to talk
jouer,to play
programme,a program
prochain,"next, upcoming"
porte,door 
joueur,player 
choix,choice 
appeler,to call
cependant,however 
disponible,available 
juin,June 
exemple,example 
président,president 
activité,activity 
maison,house 
comprendre,to understand
difficile,difficult 
tenir,to hold
début,beginning 
pourtant,yet 
décision,decision 
livre,book 
acteur,actor 
fois,time 
long,long 
mal,badly 
mesure,measure 
centre,center 
effet,effect 
risque,risk 
sembler,to seem
celui,the one
rencontre,"encounter, meeting"
produit,product 
société,society 
actuellement,currently 
action,a deed
gouvernement,government 
technique,technical 
niveau,level 
pourquoi,why 
qualité,quality 
journée,day 
article,article 
janvier,January 
principal,main 
surtout,above all
suite,continuation 
plan,plan 
toutefois,however 
possible,possible 
octobre,October 
eau,water 
professionnel,professional 
créer,to create
avril,April 
région,region 
social,social 
moi,me 
national,national 
texte,text 
selon,according to
juillet,July 
tête,head 
pratique,practice 
offrir,to offer
recevoir,to receive
européen,European 
