Romanian,English
cuvânt,word 
de,of 
avea,to have
fi,to be
un,a 
la,to 
în,in 
cu,with 
din,from 
al,of 
care,which 
pe,on 
nu,not 
pentru,for 
mai,more 
el,he 
vrea,to want
sa,to 
ca,as 
eu,I 
ca,that 
ce,what 
acest,this 
putea,can 
an,year 
cel,the 
acesta,this 
acela,that 
lui,his 
sau,or 
tot,all 
face,make 
mult,much
dar,but 
doi,two 
tu,you 
mare,big 
prin,through 
trebui,to need
iar,again 
dupa,after 
spune,to say
zi,day 
prim,first 
loc,place 
timp,time 
cum,how 
nou,new 
meu,my 
da,to give
foarte,very 
om,man 
dintre,among 
unul,one 
doar,only 
bun,good 
despre,about 
alt,other 
parte,part 
daca,if 
nici,not even
acum,now 
luna,month 
bine,well 
data,date 
ora,hour 
chiar,even 
peste,over 
persoana,person 
copil,child 
lucru,thing 
astfel,so 
lua,to take
când,when 
proiect,project 
trei,three 
unde,where 
caz,case 
veni,to come
afla,to find out
întru,in 
fapt,fact 
fiecare,every 
pâna,until 
pune,to put
stat,state 
problema,problem 
lume,world 
ultim,ultimate 
vedea,to see
echipa,team 
atunci,then 
ban,money 
declara,to declare
mic,little 
perioada,period 
cadru,frame 
urma,trace 
articol,article 
moment,moment 
public,public 
drept,right 
serviciu,service 
produs,product 
fel,kind 
european,european 
casa,house 
zona,zone 
numai,only 
primi,to receive
numar,number 
cât,how much
crede,to believe
asemenea,such 
singur,single 
însa,but 
român,romanian 
important,important 
punct,point 
program,program 
aici,here 
fara,free 
sistem,system 
începe,to start
nivel,level 
sub,under 
cat,floor 
spre,to 
ceva,something 
munca,work 
milion,million 
orice,anything 
potrivit,suitable 
companie,company 
nevoie,need 
trece,to pass
fata,girl 
mod,mode 
local,local 
pana,feather 
deveni,to become
intra,to enter
între,between 
oferi,to offer
apa,water 
lege,law 
partid,party 
eveniment,event 
centru,centre 
parea,to look
catre,to 
femeie,woman 
valoare,value 
aduce,to bring
familie,family 
altul,the other
tau,your 
vedere,view 
politic,political 
decât,than 
sta,to stay
duce,to lead
ci,but 
prea,too 
special,special 
aproape,close 
dori,to wish
urma,to follow
oara,a time
atât,so much
prezent,present 
merge,to go
firma,company 
prezenta,to present
guvern,government 
cauza,cause 
apoi,then 
folosi,to use
camera,room 
director,director 
meci,match 
baza,base 
joc,game 
viitor,future 
scrie,to write
vorba,word 
realiza,realize 
precum,as 
asupra,on 
general,general 
domeniu,field 
nume,name 
primar,mayor 
patru,four 
trecut,past 
rezultat,result 
afacere,business 
deja,already 
alege,to choose
spital,hospital 
domn,gentleman 
alegere,choice 
drum,road 
acolo,there 
consiliu,council 
activitate,activity 
